Record_ID,OpenAlex_ID,Year,Title,Abstract_Screening_Text,Automated_Triage,Automated_Triage_Reason,Audit_Decision,Audit_Reason,Audit_Notes,Assisted_Recommendation_v1,Assisted_Reason_v1,Assisted_Confidence_v1,Manual_Audit_Decision,Manual_Audit_Reason
1710,W4389077744,2011,El financiamiento internacional para la cooperación al desarrollo de la salud de América Latina y el Caribe International financing for cooperation to develop health in Latin America and the Caribbean,"El presente estudio tuvo como objetivos a) conocer en qué medida América Latina y el Caribe (ALC) se vio beneficiada por los aumentos de la asistencia internacional para el desarrollo de la salud (ADS) a nivel mundial y si la tendencia observada después de la Cumbre del Milenio, también fue una tendencia observada en la Región, b) determinar si existen diferencias en la distribución de esta asistencia, según el ingreso bruto per cápita de los países, c) identificar el posible efecto de la crisis financiera internacional de 2008 en la ayuda oficial bilateral y d) comparar las tendencias que tuvo el gasto público salud con respecto a la ADS antes y después de la Cumbre del Milenio Se encontró que la ADS en ALC sigue un curso muy diferente al de otras regiones del mundo. A partir de 1997 se entra en un período de estancamiento fluctuante que se extiende hasta 2008, con desembolsos promedios anuales de US$ 1 200 millones. La banca multilateral tuvo una participación de 79% de los desembolsos promedios entre 2002 y 2008 en los países de ingreso medio alto, mientras que la ayuda oficial bilateral registró la mayor participación (61%) en los países de ingresos medios bajos y bajos. En este período la ayuda bilateral tiene un crecimiento anual de 13%, pero en el año posterior a la crisis los desembolsos caen en US$ 20 millones. El 64% de la ayuda bilateral provino de Estados Unidos, España y Canadá, y el 29% de la misma se destinó a VIH/Sida y enfermedades de transmisión sexual. Después de la Cumbre del Milenio la ADS canalizada hacia los gobiernos disminuyó en un 30% entre 2001-2006 y su participación con respecto al gasto público en salud regional fue de 0,30% en el mismo período, con una proporción igualmente marginal con respecto al gasto total en salud para 2008 (0,37%; US$ 2 per cápita). Se concluye que después de la Cumbre del Milenio la ADS en ALC no creció ni logró igualar las tendencias antes del 2000 y el gasto público en salud siguió su tendencia de crecimiento histórico, sin mayores incrementos con respecto al producto interno bruto regional. Frente a este panorama y por ser ALC la región más desigual pero no la más pobre del mundo, resulta imperativo replantearse las formas de pensar, conducir y entregar la cooperación para el desarrollo de la salud con enfoques innovadores y mecanismos alternativos de financiamiento que respondan más y mejor a las realidades de la región. The purpose of this study is (a) to examine the ways in which Latin America and the Caribbean (LAC) have benefited from increases in international development assistance for health (DAH) at the global level and whether the trend observed after the Millennium Summit has also applied to the Region; (b) to determine whether there are differences in the distribution of this assistance, based on the gross per capita income of each country; (c) to identify the possible effects of the 2008 international financial crisis on official bilateral assistance; and (d) to compare trends in public health expenditure in relation to DAH before and after the Millennium Summit. The study has found that DAH in LAC follows a very different pattern than in other regions of the world. The period from 1997 to 2008 was one of fluctuating stagnation, with average annual disbursements of US$ 1 200 million. Multilateral financial institutions accounted for 79% of the average disbursements in the upper-middle income countries between 2002 and 2008, while official bilateral assistance held the greatest share (61%) in the low- and lower-middle income countries. Bilateral assistance grew at an annual rate of 13% during this period, but in the year after the crisis, disbursements fell to US$ 20 million. Sixty-four percent of bilateral assistance came from the United States, Spain, and Canada, with 29% of it being directed to HIV/AIDS and sexually transmitted diseases. After the Millennium Summit DAH channeled to governments decreased 30% in the period 2001-2006, and its share of public health expenditure in the region was 0.3% for the same period, with an equally marginal proportion in relation to total health expenditure for 2008 (0.37%; US$ 2 per capita). The study concludes that after the Millennium Summit, DAH in LAC did not grow nor did it equal the trends prior to 2000, and public health expenditure followed its historical growth trend, without further increases in relation to the regional gross domestic product. Given these realities and the fact that LAC is the world's most unequal region, but not its poorest, it is imperative to reconsider the concepts, management, and delivery of cooperation in the development of health, using innovative approaches and alternative financing mechanisms that respond more effectively to the realities of the region.",Priority B - manual review,Did not pass earlier high-specificity screen; manual review required before exclusion,,,,Unclear,Possible financing evidence; target-country eligibility not identifiable from title/abstract,Low,Unclear,Insufficient title/abstract information; requires full-text or additional metadata
12096,W4412347103,2025,An Empirical Study On PMFBY Enrolment Issues Among Small-Land Holding Farmers With Special Reference To Mysuru District,"This study investigates the barriers to enrollment in the Pradhan Mantri Fasal Bima Yojana (PMFBY) among small land holding farmers in Mysuru District, Karnataka. PMFBY, introduced by the Government of India in 2016, aims to provide financial protection to farmers against crop losses due to natural calamities. However, despite its potential benefits, the enrollment rate among small and marginal farmers remains low. This research adopts a mixed-methods approach to explore key constraints related to awareness, affordability, and administrative challenges. Primary data were collected through structured questionnaires from 120 small land holding farmers across different taluks in Mysuru, complemented by interviews with agricultural officers and insurance representatives. The findings reveal that a majority of the farmers lack adequate awareness about the scheme's objectives, benefits, and enrollment procedures. Premium affordability, especially for marginal farmers, and complex documentation requirements act as significant deterrents. In addition, delayed claim settlements and lack of trust in insurance agencies further discourage participation. Many farmers also face challenges related to digital literacy and access to formal banking facilities, which are essential for scheme registration and transactions. The study concludes that for PMFBY to achieve its intended impact, efforts must be made to enhance awareness through local outreach programs, simplify administrative processes, introduce flexible premium options, and improve transparency in claim settlements. These steps are essential to increase enrollment and ensure the scheme truly benefits the vulnerable smallholder farming community in Mysuru District.",Priority B - manual review,Did not pass earlier high-specificity screen; manual review required before exclusion,,,,Exclude,No substantive financing approach/UHC-financing signal,High,Exclude,Does not meet primary financing-approach synthesis criteria at title/abstract stage
6302,W2995833317,2019,A comprehensive assessment of universal health coverage in 111 countries: a retrospective observational study,"BACKGROUND: The goal of universal health coverage (UHC) requires that everyone receive needed health services, and that families who get needed services do not suffer undue financial hardship. Tracking progress towards UHC requires measurement of both these dimensions, and a way of trading them off against one another. METHODS: We measured service coverage by a weighted geometric average of four prevention indicators (antenatal care, full immunisation, and screening for breast and cervical cancers) and four treatment indicators (skilled birth attendance, inpatient admission, and treatment for acute respiratory infection and diarrhoea), financial protection by the incidence of catastrophic health expenditures (those exceeding 10% of household consumption or income), and a country's UHC performance as a geometric average of the service coverage index and the complement of the incidence of catastrophic expenditures. Where possible, we adjusted service coverage for inequality, penalising countries with a high level of inequality. The bulk of data used in this study were from the World Bank's Health Equity and Financial Protection Indicators database (2019 version), comprising data from household surveys. Gaps in the data were supplemented with other survey data and (where necessary) non-survey data from other sources (administrative, modelled, and imputed data). FINDINGS: A low incidence of catastrophic expenses sometimes reflects low service coverage (often in low-income countries) but sometimes occurs despite high service coverage (often in high-income countries). At a given level of service coverage, financial protection also varies. UHC index scores are generally higher in higher-income countries, but there are variations within income groups. Adjusting the UHC index for inequality in service coverage makes little difference in some countries, but reduces it by more than 10% in others. Seven of the 12 countries for which we were able to produce trend data have increased their UHC index over time (with the greatest average yearly increases seen in Ghana [1·43%], Indonesia [1·85%], and Vietnam [2·26%]), mostly by improving both financial protection and service coverage. Some increased their UHC index, despite reductions in financial protection, by substantially increasing their service coverage. The UHC index decreased in five of 12 countries with trend data, mostly because financial protection worsened with stagnant or declining service coverage. Our UHC indicators (except inpatient admissions) are significantly and positively associated with GDP per capita, and most are correlated with the share of health spending channelled through social health insurance and government schemes. However, associations of our UHC indicators with the share of GDP spent on health and the shares of health spending channelled through non-profit and private insurance are ambiguous. INTERPRETATION: Progress towards UHC can be tracked using an index that captures both service coverage and financial protection. Although per-capita income is a good predictor of a country's UHC index score, some countries perform better than others in the same income group or even in the income group above their own. Strong UHC performance is correlated with the share of a country's health budget that is channelled through government and social health insurance schemes. FUNDING: None.",Priority B - manual review,Did not pass earlier high-specificity screen; manual review required before exclusion,,,,Unclear,Financing mechanism/function appears in abstract but is not explicit in title,Medium,Map only,Relevant to broader UHC/health-system knowledge map but not primary financing-approach synthesis
3474,W2212768557,2015,"Closing the health and nutrition gap in Odisha, India: A case study of how transforming the health system is achieving greater equity","Health equity is high on the international agenda. This study provides evidence of how health systems can be strengthened to improve health equity in a low-income state. The paper presents a case study of how the Government of Odisha in eastern India is transforming the health system for more equitable health and nutrition outcomes. Odisha has a population of over 42 million, high levels of poverty, and poor maternal and child health concentrated in its Southern districts and among Scheduled Tribe and Scheduled Caste communities. Conducted between 2008 and 2012 with the Departments of Health and Family Welfare, and Women and Child Development, the study reviewed a wide range of literature including policy and programme documents, evaluations and studies, published and grey material, and undertook secondary analysis of state level household surveys. It identifies innovative and expanded provision of health services, reforms to the management and development of human resources for health, and the introduction of a number of cash transfer and entitlement schemes as contributing to closing the gap between maternal and child health and nutrition outcomes of Scheduled Tribes, and the Southern districts, compared to the state average. The institutional delivery rate for Scheduled Tribes has risen from 11.7% in 2005-06 to 67.3% in 2011, and from 35.6% to 79.8% for all women. The social gradient has also closed for antenatal and postnatal care and immunisation. Nutrition indicators though improving are proving slower to budge. The paper identifies how political will, committed policy makers and fiscal space energised the health system to promote equity. Sustained political commitment will be required to continue to address the more challenging human resource, health financing and gender issues.",Priority B - manual review,Did not pass earlier high-specificity screen; manual review required before exclusion,,,,Unclear,Financing mechanism/function appears in abstract but is not explicit in title,Medium,Map only,Relevant to broader UHC/health-system knowledge map but not primary financing-approach synthesis
804,W2409003414,2007,Single-payer health care systems: the roles and responsibilities of the public and private sectors.,"Health care systems all over the world are experiencing some change as they look for a new balance between supply and demand. This article provides context for the U.S. health care financing debate by examining the health care systems of five other countries: Canada, the United Kingdom, Australia, China and India. The authors show that, with few exceptions, countries around the world have seen an increase in both government and private health care spending between 1998 and 2002. The authors also demonstrate that employers throughout most of the world are becoming more, rather than less, involved in the funding and delivery of health care to employees and their dependents-even among nations with so-called single-payer health systems.",Priority B - manual review,Did not pass earlier high-specificity screen; manual review required before exclusion,,,,Unclear,Financing mechanism/function appears in abstract but is not explicit in title,Medium,Exclude,Does not meet primary financing-approach synthesis criteria at title/abstract stage
13225,W7126031650,2026,"“Poverty is a social issue, not a mathematical problem”: examining the lessons for beneficiary identification from implementation of the UHC indigent program in Kenya","BACKGROUND: Kenya rolled out a UHC indigent program aimed to expand financial protection and health service access for poor households through subsidized health insurance under the national insurer, National Health Insurance Fund (NHIF). As Kenya transitions to a new social health insurance framework under the Social Health Authority (SHA), understanding the implementation experience of the UHC indigent program is critical for informing the roll out of SHA’s indigent program. METHODS: We conducted a qualitative process evaluation of the UHC indigent program using document reviews, semi-structured interviews with 23 key informants from national and county health authorities, development partners, and implementing actors, complemented by a validation workshop with 57 stakeholders. Our analysis was guided by Moore et al.‘s process evaluation framework and Wu et al.‘s policy capacity lens, examining implementation fidelity and capacities at multiple levels. RESULTS: The program’s implementation deviated from its original centralized design, with counties exerting control over beneficiary identification due to national data gaps, incomplete rollout of the Harmonized Testing Tool, and political and operational constraints. Variations in targeting methods, reliance on under-resourced community health actors, and delays in biometric registration contributed to partial enrolment, limited access, exclusion errors, and mistrust. Although some counties reported increased service utilization, this was limited by unregistered dependents and lack of beneficiary awareness. Stakeholders expressed concern over SHA’s use of proxy means testing for identifying the poor, citing risks of exclusion, manipulation, and failure to capture locally constructed definitions of poverty. CONCLUSION: Kenya’s experience demostrates the need to align national targeting frameworks with local realities, invest in policy capacity across stakeholders, and prioritize community validation and communication in subsidy programs. As SHA rolls out a new indigent program, these lessons offer critical guidance for enhancing fidelity, equity, and accountability.",Priority B - manual review,Did not pass earlier high-specificity screen; manual review required before exclusion,,,,Unclear,Financing mechanism/function appears in abstract but is not explicit in title,Medium,Include,Meets primary financing-approach/UHC eligibility at title/abstract stage
2417,W1491733319,2013,Universal health coverage in a regional Nepali hospital: who is exempted from payment? [Short communication],"This study assessed the characteristics of beneficiaries of a government-led policy of exemption for payment being provided in a regional hospital in Nepal. In January and February 2012, 9547 patients sought services at the out-patient clinic, the majority (83%) of whom were from the same district although this was a referral hospital for 15 districts. Only 10.8% received exemption from payment; 66% of the individuals aged >60 years and eligible for exemption were missed. These shortcomings highlight intrinsic weaknesses in the current implementing mechanisms for payment exemption, which may not be providing financial protection. This hampers efforts towards achieving universal health coverage.",Priority B - manual review,Did not pass earlier high-specificity screen; manual review required before exclusion,,,,Map only,Relevant to UHC/health-system knowledge map but no explicit financing-approach evaluation,High,Include,Meets primary financing-approach/UHC eligibility at title/abstract stage
5819,W2921297544,2019,A practical approach to universal health coverage,"Given the 400 million people who do not have access to essential health services,1WHOUniversal health coverage.http://www.who.int/mediacentre/factsheets/fs395/enDate: 2015Date accessed: February 12, 2019Google Scholar the UN has included achievement of universal health coverage (UHC) by 2030 in the Sustainable Development Goals.2UNSustainable development goals.http://www.un.org/sustainabledevelopment/sustainable-development-g+oalsDate: 2016Date accessed: February 12, 2019Google Scholar UHC has two fundamental and interconnected commitments: the equitable access to high-quality health services and the promise of financial protection for all.3Boerma T Eozenou P Evans D Evans T Kieny M Wagstaff A Monitoring progress towards universal health coverage at country and global levels.PLoS Med. 2014; 11: e1001731Crossref PubMed Scopus (166) Google Scholar To date, the global movement to achieve UHC has mainly focused on demand-side barriers by encouraging countries to increase their domestic financing for health to provide social health insurance and to decrease out-of-pocket expenditures.4Sachs JD Achieving universal health coverage in low-income settings.Lancet. 2012; 380: 944-947Summary Full Text Full Text PDF PubMed Scopus (82) Google Scholar, 5Yates R Universal health care and the removal of user fees.Lancet. 2009; 373: 2078-2081Summary Full Text Full Text PDF PubMed Scopus (165) Google Scholar Yet, even with increased expenditures and efficiency in domestic financing towards these often-called demand-side barriers, the delivery of care is still hamstrung by insufficient staff, supplies, and infrastructure or so-called supply-side investments.6Kruk ME Gage AD Arsenault C et al.High quality health systems in the Sustainable Development Goals era: time for revolution.Lancet Glob Health. 2018; 6: e1196-e1252Summary Full Text Full Text PDF PubMed Scopus (1041) Google Scholar Many countries remain impoverished due to structural factors and still cannot afford to provide quality care to all of those affected by their disproportionately large disease burdens. Even when user fees are removed, health facilities often remain empty. However, despite the insufficiency of health-care systems, the effective implementation of HIV programmes has succeeded in moving towards the once impossible goal of universal coverage of antiretroviral therapy (ART), even in impoverished settings. These advances towards realising full access to HIV care and treatment required a coordinated national-level strategy for care delivery. National programmes linked HIV surveillance data with the supply-side inputs needed to address the entire burden of disease. Projected patient volumes based on epidemiological data and treatment protocols were used to quantify and increase the number of staff for counselling, treatment, and laboratory services. Similarly, the process of estimating patient flow and volume informed the building of infrastructure and procurement of medical products.7The Maximizing Positive Synergies Academic ConsortiumInteractions between global health initiatives and health systems: evidence from countries.http://www.who.int/healthsystems/publications/MPS_academic_case_studies_Book_01.pdfDate: 2009Date accessed: February 12, 2019Google Scholar Due, in large part, to the progressive implementation of these supply-side measures, 21·7 million people across the world were accessing ART in 2017.8Atun R Andrade LOM Almeida G et al.Health system reform and universal health coverage in Latin America.Lancet. 2015; 385: 1230-1247Summary Full Text Full Text PDF PubMed Scopus (341) Google Scholar, 9UNAIDSGlobal HIV & AIDS statistics—2018 fact sheet.http://www.unaids.org/en/resources/fact-sheetDate: 2018Date accessed: February 12, 2019Google Scholar The path to the delivery of care needed to assure UHC is less clear and demands additional planning and resources to establish what interventions will be delivered to what populations. Projection models, such as the WHO OneHealth tool, already exist and the WHO and World Bank have proposed a framework for monitoring a country's progress towards UHC. Yet, although these tools are very useful in elucidating national successes and failures, in most cases such analyses do not make it to the subnational level. There is still a practical need to support the planning and implementation of health interventions at the health-centre level based on linking the disease burden for each specific catchment area with the inputs needed to progressively cover the population's health. Building off of existing UHC measurement methods, the Partners In Health UHC Monitoring and Planning Tool adds specificity for district-level and facility-level planning to allow for scaled expansion and improvement of the delivery of care within the local context by enabling granular forecasting. The user enters demographic inputs regarding the specific unit of analysis and the tool calculates, (1) the burden of disease within a given catchment area, (2) the volume of patient visits that would be expected if 100% of the disease burden was met by standard clinical protocols, and (3) the infrastructure, supplies, and staff needed to cover 100% of the population. In 2006, the Government of Lesotho invited Partners In Health to join its efforts to improve care in seven rural clinics with extremely low overall use. Despite the absence of user fees, antenatal care visits and facility-based deliveries were both exceptionally low, resulting in one of the highest maternal mortality rates in the world.10Hogan M Foreman K Naghavi M et al.Maternal mortality for 181 countries, 1980–2008: a systematic analysis of progress towards Millennium Development Goal 5.Lancet. 2010; 375: 1609-1623Summary Full Text Full Text PDF PubMed Scopus (1447) Google Scholar Using benchmarks from the UHC tool as a guide, the Partners In Health team increased the required inputs (with financing from The Skoll Foundation and the Government of Lesotho) to ensure that 100% of women could have four antenatal care visits and a facility-based delivery. Based on a national crude birth rate of 3% and the essential service package of four antenatal visits, a 7-day stay in a maternal waiting home for women living more than 2 h from the clinic, and a facility-based delivery for all women in the catchment area, the Partners In Health team estimated the number of delivery tables, waiting home beds, midwives, and delivery packs needed for each clinic. Over 2 years of strengthening the health system, the proportion of facility-based deliveries in the Bobete area rose from 12% to 56%, with no reported maternal deaths in the Bobete clinic (figure).11Satti H Motsamai S Chetane P et al.Comprehensive approach to improving maternal health and achieving MDG 5: report from the mountains of Lesotho.PLoS One. 2012; 7: e42700Crossref PubMed Scopus (25) Google Scholar With clear improvements across all seven clinics, Partners In Health was then asked to support a national reform of primary health-care delivery between 2013 and 2017. The method of aligning staff, drugs, supplies, and infrastructure with the burden of disease was formalised into the Partners In Health UHC Monitoring and Planning Tool and was used to strengthen 70 primary care clinics across Lesotho to ensure the availability of care. Preliminary analyses of the 70 facilities show substantial increases in use over a 2-year period, including a 23-times increase in facility-based deliveries in Mohale's Hoek District, which went from 73 in 2013 to 1742 in 2015. This tool does not address the role of demand-side barriers in the underuse of services. Such barriers are linked to the social determinants of health and cannot be addressed by supply-side inputs alone. Achieving UHC will require substantial improvements in health systems and financing strategies to ensure the availability of effective health services. This tool represents one pragmatic method to advocate for adequate resources to align inputs with the disease burden, rather than starting with the limitations of a truncated budget envelope. Partners In Health's forecasts, together with local health leaders in Lesotho, Haiti, Liberia, and Malawi have all been instrumental in procuring additional resources for their facilities and districts. Establishing transparent coverage targets has helped community health councils, traditional authorities, and local officials to assess and support health centres. At Partners In Health, this method is already being expanded to address surgery, oncology, non-communicable diseases, and mental health services. True global success of UHC can only be achieved if we have a clear and specific plan for implementation. We declare no competing interests. A sustainable approach to universal health coverageIn their Comment (April, 2019), the Partners In Health team1 presents a tool that they claim “represents one pragmatic method to advocate for adequate resources to align inputs with the disease burden, rather than starting with the limitations of a truncated budget envelope”. In our opinion the title of their Comment is slightly misleading. Yes, the tool can be used to convince external donor agencies who wish to support health facilities in addressing the local disease burden. However, the real challenge for local health authorities is to set fair and sustainable priorities in what services to provide first under the progressive realisation of universal health coverage. Full-Text PDF Open AccessA sustainable approach to universal health coverage – Authors' replyIn response to our Comment, Maarten Jansen and colleagues suggest that the use of their framework for evidence-informed processes is a better way for health authorities to set “fair and sustainable priorities in what services to provide first in the progressive realisation of universal health coverage”. To base health priorities on evidence, as Jansen and colleagues suggest, is indeed an improvement over using cost-effectiveness alone.1 Yet, prioritisation exercises based solely on choosing interventions that are considered sustainable on the meagre health budgets of impoverished countries will ultimately preserve the unacceptable and inequitable status quo. Full-Text PDF Open Access",Priority B - manual review,Did not pass earlier high-specificity screen; manual review required before exclusion,,,,Unclear,Financing mechanism/function appears in abstract but is not explicit in title,Medium,Map only,Relevant to broader UHC/health-system knowledge map but not primary financing-approach synthesis
2309,W2149899131,2013,"A decade of improvements in equity of access to reproductive and maternal health services in Cambodia, 2000–2010","INTRODUCTION: Despite encouraging reductions in global maternal mortality rates, Millennium Development Goal (MDG) 5 on reducing maternal mortality and achieving universal access to reproductive health remains the most off-track of all MDGs. Furthermore a preoccupation with aggregate coverage statistics masks extensive disparities in health improvements between societal groups. Recent national health indicators for Cambodia highlight impressive improvements, for example, in maternal, infant and child mortality, whilst substantial government commitments have been made since 2000 to address health inequities. It is therefore timely to explore the extent of equity in access to key reproductive and maternal health services in Cambodia and how this has changed over time. METHODS: Analysis was conducted on three rounds of Demographic and Health Survey data from 2000, 2005 and 2010. Outcome variables comprised utilisation of six reproductive and maternal health services--antenatal care, skilled birth attendance, facility-based delivery, postnatal care, met need for family planning and abortion by skilled provider. Four equity measures were calculated--equity gaps, equity ratios, concentration curves and concentration indices. Household assets were used to create the social-stratification variable, using principal components analysis. RESULTS: Coverage levels of all six services improved over the decade. Coverage improvements were greatest amongst wealthier quintiles of the population, although poorer quintiles also increased use of services. Critically, inequity in service use of all services dramatically reduced over time, except for postnatal care where inequity increased slightly. However, in 2010 inequity in service use remained favouring wealthier quintiles, greatest in use of skilled birth attendance and facility-based delivery, though the magnitude of inequity was substantially reduced compared to 2000. Met need for family planning was almost perfectly equitable in 2010. CONCLUSIONS: Cambodia has made impressive improvements in overall coverage of reproductive and maternal health services over the last decade, and also in the distribution of their use across wealth quintiles. A range of pro-poor health financing and supply-side policies as well as non-health factors may have contributed to these achievements. Further research will explore specific schemes qualitatively and quantitatively to assess their impact on equity and service use.",Priority B - manual review,Did not pass earlier high-specificity screen; manual review required before exclusion,,,,Unclear,Financing mechanism/function appears in abstract but is not explicit in title,Medium,Map only,Relevant to broader UHC/health-system knowledge map but not primary financing-approach synthesis
13531,W7151577869,2026,Structure of Review Based on Continuity and Change in Nepal's Health Service Policies and Programs: A Historical Assessment,"Nepal’s health system has undergone remarkable transformation from reliance on traditional Ayurvedic practices to the gradual development of modern health services, yet progress has been uneven when assessed historically and against international standards. “This review followed the PRISMA-P and JBI guidelines for systematic reviews on the stabilities and changes in Nepal’s health policies and programs, tracing their evolution from the establishment of Bir Hospital in 1890 to the federal restructuring of 2015. Notable achievements include significant reductions in child and maternal mortality, improvements in life expectancy, development of community-based programs such as the Female Community Health Volunteers, and gradual increases in government health expenditure. However, persistent weaknesses remain, including inadequate and unstable public financing, inequitable distribution of services, rural urban disparities, malnutrition, and dependence on external funding. When compared with regional peers, Nepal’s health outcomes remain behind high-performing countries such as Sri Lanka and Maldives, and even Bangladesh in specific areas like community health delivery. The Universal Health Coverage service index remains low, highlighting gaps in quality and equity relative to global benchmarks. Federalization has opened opportunities for localized health governance but has also created challenges in coordination and capacity. Overall, Nepal’s health journey reflects important gains but also enduring structural barriers that hinder universal, high-quality coverage. Future improvements should focus on strengthening domestic financing, addressing inequities, improving service quality, and adapting lessons from regional and global best practices to achieve sustainable health improvements.",Priority B - manual review,Did not pass earlier high-specificity screen; manual review required before exclusion,,,,Unclear,Financing mechanism/function appears in abstract but is not explicit in title,Medium,Map only,Relevant to broader UHC/health-system knowledge map but not primary financing-approach synthesis
